Frame,Time,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12
1,0,1.015502885,1.018402653,1.021758396,1.019949556,1.017295104,1.020444552,1.027556095,1.030305247,1.024988948,1.015093211,1.015518068,1.017012076
2,2,1.010577302,1.010140099,1.01990813,1.023244073,1.020514701,1.017713644,1.02207764,1.030446243,1.023746161,1.022363529,1.020031792,1.016859288
3,4,1.007586607,1.014644142,1.012240722,1.018932461,1.013919862,1.017340782,1.018967432,1.023704962,1.019764035,1.018822216,1.015655852,1.01735651
4,6,1.004560431,1.004935967,1.007961652,1.016425231,1.00822431,1.0121436,1.005322574,1.019304783,1.011037699,1.009319226,1.003136104,1.01017857
5,8,1.007901422,1.015342134,1.008251772,1.004625059,1.003426151,1.013134311,1.005421041,1.018804518,1.009976792,1.009260749,1.000054473,1.01789715
6,10,1.003999252,1.001139849,1.0048965,1.011344923,1.000783762,1.008453584,1.000138024,1.015657407,1.006923609,1.006119337,1.001429066,1.01380666
7,12,1.008433085,1.003344607,1.001254294,1.00076748,0.999254376,1.006474183,1.002927666,1.012958088,1.002246088,1.004250797,1.002022567,1.002829294
8,14,0.97088137,1.007612469,1.006439516,1.014142792,1.037096707,0.979810474,0.979145649,0.989020251,0.98918745,1.007997982,0.986718662,1.002673148
9,16,1.002525662,1.006618395,0.998535362,1.00098376,0.997915936,1.002145438,0.996110115,1.012429597,0.993419968,0.99575292,1.003057549,1.000046818
10,18,1.008565092,0.99501489,0.995688816,0.991920943,1.004353894,0.999455716,0.997726481,1.004813566,0.995397913,1.000052803,0.999578342,1.000992739
11,20,1.003201916,0.989315497,0.992337664,0.996116647,0.998268497,0.994099588,0.98864132,1.005213812,0.992459682,0.989858407,0.98787947,0.998615116
12,22,0.994795543,0.989972121,0.992748529,0.989604402,0.99346818,0.993372505,0.990141475,0.998744138,0.991513846,0.995007852,0.988872233,0.992701758
13,24,0.997364779,0.998688706,0.990063038,0.992202425,0.994404557,0.992073351,0.990999381,1.002293513,0.990545077,0.996159437,0.999825979,0.993206014
14,26,0.995629887,0.99552932,0.98960033,0.990475114,0.992357542,0.992051416,0.994247735,1.007155002,0.98518776,0.99435177,0.994260049,0.989538849
15,28,0.998856395,1.000689073,0.99117922,0.984864108,0.989833583,0.994700757,0.988824732,0.997731835,0.989863758,0.995806637,0.995466805,0.985121228
16,30,0.997832652,1.000430278,0.991205466,0.989627859,0.985083479,1.000287935,0.991555499,0.996687686,0.982092094,0.989188952,0.995560336,0.988145741
17,32,0.994673779,0.991926821,0.987108896,0.984258421,0.987213029,0.990704639,0.986336857,0.999909959,0.982620853,0.988821097,0.990461806,0.988317548
18,34,0.991971939,0.981604483,1.01966778,1.007388825,0.988693022,0.997796771,1.049704032,0.880503055,1.044802016,0.996138507,1.028188681,0.995240979
19,36,1.000921436,0.992837582,0.991915312,0.985040737,0.988257509,0.98873964,0.990863415,0.982603122,0.988971003,0.981051204,0.987675065,0.98750683
20,38,0.926503456,0.894607024,0.896696638,0.930502495,0.916218955,0.902964262,0.900707206,0.915535926,0.90918621,0.916918454,0.908129006,0.911099399
21,40,0.831856297,0.810621116,0.795198621,0.805841777,0.798545017,0.779454876,0.801379743,0.818036736,0.790707547,0.781669317,0.781777758,0.802914195
22,42,0.822116617,0.798241556,0.779076092,0.778398276,0.778985766,0.762913358,0.785608903,0.811608404,0.770488881,0.761425701,0.766661624,0.786776271
23,44,0.819474545,0.788253005,0.773095136,0.765147551,0.763315217,0.753890094,0.777727154,0.808136769,0.759263181,0.754617956,0.758223358,0.77633947
24,46,0.819029843,0.784519972,0.769675277,0.761398,0.764593813,0.749138331,0.779289519,0.805948687,0.754210011,0.749327587,0.757636572,0.774583261
25,48,0.815472026,0.790662983,0.766487218,0.760173325,0.783115342,0.743050708,0.77039747,0.802761469,0.750693179,0.750390192,0.754889643,0.774559276
26,50,0.809310603,0.784828553,0.768880833,0.758462539,0.783178808,0.728212333,0.767387619,0.798388682,0.749665363,0.749105337,0.753935134,0.769102498
27,52,0.81116708,0.783568222,0.767067843,0.759278791,0.778259101,0.73014914,0.769299579,0.798698357,0.747907127,0.745103254,0.752966965,0.763315295
28,54,0.803525822,0.775921201,0.761523498,0.754889425,0.779326566,0.732236903,0.768039472,0.788878601,0.744508486,0.745682687,0.748656457,0.759496509
29,56,0.808679654,0.782009635,0.761435999,0.748904744,0.784524365,0.734197215,0.76852695,0.792460105,0.748401463,0.746071116,0.749660011,0.755780734
30,58,0.803946217,0.781864071,0.760534822,0.750647321,0.778427952,0.725885991,0.766304164,0.799690919,0.745233408,0.745148763,0.757736263,0.755926327
31,60,0.810437705,0.785300874,0.759158065,0.756628678,0.782710222,0.726725722,0.768093994,0.790981669,0.747930404,0.747129314,0.754607086,0.750375769
32,62,0.808372751,0.787383124,0.760680188,0.757466854,0.784977386,0.729687248,0.77052578,0.793759794,0.746865417,0.742977648,0.754876672,0.748869123
33,64,0.814606082,0.779923789,0.763690671,0.756472454,0.779552906,0.730681421,0.776172791,0.794307191,0.746447876,0.746183116,0.753281178,0.750677914
34,66,0.817687891,0.785317285,0.767023947,0.756915027,0.782289663,0.725678027,0.770989948,0.79782867,0.746163478,0.742665184,0.752711775,0.74617761
35,68,0.814223383,0.781262566,0.768246925,0.757833832,0.783248143,0.727737902,0.773839586,0.795349115,0.745828875,0.744488745,0.751464428,0.749326312
36,70,0.820664723,0.779172478,0.765362669,0.763830131,0.777182961,0.723017708,0.771867802,0.790547059,0.741508001,0.74553323,0.753756787,0.74578117
37,72,0.81430886,0.775048375,0.76711761,0.755934693,0.786168433,0.72494177,0.767627468,0.786486524,0.742804305,0.741440481,0.750703154,0.745682192
38,74,0.806685687,0.773550986,0.760259247,0.7573355,0.779295971,0.722682734,0.764871935,0.786408197,0.741084101,0.736735108,0.754949261,0.744724489
39,76,0.811291994,0.770487429,0.757457589,0.756635559,0.774339988,0.724587439,0.768448413,0.785423713,0.742862504,0.736099604,0.754785039,0.745205901
40,78,0.811008877,0.772417052,0.761356036,0.757389543,0.768642856,0.732207821,0.768209343,0.787908414,0.745018498,0.737432896,0.756404391,0.745589824
41,80,0.808007695,0.769324523,0.759678682,0.752321927,0.771963831,0.720178836,0.767227095,0.778359793,0.742397627,0.735332892,0.752851963,0.74053792
42,82,0.804790366,0.76414486,0.752255922,0.75463687,0.767334634,0.723351414,0.766934974,0.777858402,0.74490307,0.739231764,0.749801353,0.739594563
43,84,0.792149851,0.769548813,0.751616566,0.754630988,0.75696435,0.721882049,0.769242765,0.787331531,0.74495315,0.732710366,0.757025169,0.740497076
44,86,0.800540507,0.762085932,0.752291366,0.75354145,0.768211971,0.723603563,0.766929248,0.77748598,0.743322253,0.731037182,0.746501474,0.74270564
45,88,0.797538138,0.764993544,0.750059384,0.751979194,0.767431639,0.720415474,0.772830023,0.772554679,0.74471801,0.733885162,0.749227206,0.740408886
46,90,0.791969385,0.753823478,0.745040338,0.747476597,0.753107819,0.718633657,0.769819401,0.780881239,0.741547973,0.73378963,0.752396729,0.734523755
47,92,0.793372254,0.757968656,0.746001276,0.748848465,0.76237437,0.71499235,0.771888363,0.782795438,0.744010304,0.736197288,0.750829714,0.741105721
48,94,0.79384674,0.763021703,0.743411173,0.751243835,0.757876334,0.716981578,0.771694744,0.782116832,0.738560817,0.72832878,0.752918363,0.738747354
49,96,0.785505506,0.757814597,0.746707687,0.749348311,0.761543448,0.721888572,0.7698146,0.783169561,0.741605945,0.729448542,0.748892258,0.739791094
50,98,0.790822254,0.760338879,0.746304417,0.748708109,0.754155981,0.72391371,0.773236163,0.784293665,0.740455324,0.731408505,0.756367116,0.735240046
51,100,0.791085248,0.765895475,0.750005715,0.750601573,0.75615632,0.72849024,0.771751845,0.77878955,0.740004615,0.727360253,0.751263761,0.740748926
52,102,0.783185267,0.758936061,0.746907281,0.746365663,0.750870617,0.722233455,0.770871139,0.779429858,0.742276105,0.726091409,0.755205266,0.73529462
53,104,0.781053497,0.75203703,0.74093091,0.738332936,0.744811224,0.712371144,0.767623065,0.781291847,0.737980863,0.724061706,0.744832098,0.737243118
54,106,0.781088632,0.764100959,0.744282381,0.73996337,0.749504037,0.721756099,0.770537353,0.775959745,0.737358328,0.72422214,0.748009383,0.735989873
55,108,0.783902064,0.751960551,0.744485115,0.746495641,0.75338576,0.72601782,0.770025162,0.775809404,0.740810164,0.727401318,0.746538654,0.735639771
56,110,0.778328868,0.753884576,0.74087331,0.7383551,0.743612073,0.721284603,0.772297032,0.772096106,0.737765248,0.730317933,0.747412001,0.734593748
57,112,0.77548226,0.75446639,0.741032019,0.740256989,0.741974356,0.72261783,0.771103874,0.776495473,0.738796291,0.725651452,0.747997052,0.732920236
58,114,0.780534971,0.747717245,0.73823368,0.738674197,0.746284499,0.719765486,0.7696377,0.768719117,0.732905386,0.72053058,0.745176451,0.727189327
59,116,0.775516777,0.74221584,0.732979306,0.734497353,0.739653472,0.718180558,0.770936568,0.771367779,0.735531314,0.722706486,0.74567032,0.730994217
60,118,0.770882469,0.741891886,0.734493824,0.729960532,0.744484527,0.723560056,0.770888873,0.769459726,0.731347989,0.719849409,0.740864506,0.72937317
61,120,0.770203248,0.739426124,0.728837497,0.731463984,0.726940818,0.709616655,0.769294378,0.766755844,0.735336684,0.722107217,0.738872025,0.733227398
62,122,0.767151262,0.742043563,0.732398141,0.726432351,0.736974086,0.716738669,0.767923667,0.767638401,0.730277399,0.721464783,0.741682858,0.729915863
63,124,0.77453626,0.744360976,0.730358743,0.725649798,0.735363101,0.721703462,0.771178424,0.768770163,0.734241478,0.719050166,0.739896619,0.726320246
64,126,0.771615957,0.738619526,0.727868197,0.729849701,0.733977634,0.71172313,0.76805633,0.771341047,0.734061845,0.72089099,0.744820135,0.726877404
65,128,0.772827579,0.740459689,0.727782279,0.73116541,0.734948612,0.715892808,0.771787238,0.771234941,0.732169745,0.718641151,0.746372943,0.72799255
66,130,0.771814965,0.744994029,0.727872978,0.728284083,0.734767076,0.71451785,0.769672206,0.767422939,0.729024955,0.719849161,0.74696705,0.727338575
67,132,0.774561443,0.749118832,0.730620988,0.729815318,0.724797062,0.717229691,0.76864904,0.768451766,0.728092223,0.719297443,0.744322325,0.722139982
68,134,0.765180549,0.741892052,0.731800145,0.73862645,0.735764223,0.71576643,0.772192098,0.77105787,0.729927184,0.718364159,0.741595465,0.72276824
69,136,0.768350812,0.739813411,0.729296594,0.732803737,0.73077213,0.719804735,0.770396379,0.772388903,0.728635672,0.72048748,0.741139081,0.721422937
70,138,0.766366597,0.741501038,0.73022084,0.723104739,0.731738146,0.716645753,0.771531996,0.7644999,0.730482958,0.723733735,0.744864475,0.721599646
71,140,0.76181201,0.734051664,0.728752339,0.731762081,0.73179939,0.715034069,0.769096179,0.762699204,0.732644048,0.720752568,0.743375048,0.724282172
72,142,0.763186189,0.737676412,0.727866618,0.729914052,0.733919571,0.716399953,0.773631129,0.766223579,0.731139829,0.723924711,0.740439656,0.721206965
73,144,0.758637212,0.736560525,0.730784463,0.729827253,0.733078918,0.715959663,0.762775454,0.761460737,0.732051339,0.725258083,0.74553307,0.720170984
74,146,0.759177199,0.7295781,0.724591229,0.724708358,0.738249017,0.710672713,0.765799402,0.756871772,0.732897919,0.722558242,0.737733495,0.719841035
75,148,0.760862959,0.726648485,0.724382382,0.732189975,0.729333376,0.712160475,0.760505174,0.757424331,0.731781886,0.715304435,0.73565345,0.722240751
76,150,0.758216962,0.733915667,0.723793489,0.726387671,0.735705006,0.711782126,0.760254627,0.759131671,0.733188213,0.721247869,0.737123809,0.722412202
77,152,0.759114421,0.724875705,0.721085858,0.72336845,0.728275251,0.713201325,0.762042582,0.77145992,0.731454109,0.718286841,0.733928483,0.718159689
78,154,0.760506821,0.729195606,0.724138953,0.723914489,0.724670493,0.712445626,0.762694511,0.759208998,0.733903048,0.71599733,0.730605887,0.724100049
79,156,0.754838691,0.721571825,0.71812455,0.723716337,0.72734001,0.713976228,0.757985598,0.752307492,0.733173419,0.71633027,0.734624601,0.722114001
80,158,0.755040807,0.714644055,0.720364736,0.724082476,0.727943098,0.708669849,0.760728907,0.766506159,0.730638612,0.718010213,0.734224698,0.717368583
81,160,0.757849805,0.72558065,0.721266447,0.724716357,0.731789353,0.71185784,0.76132872,0.75998124,0.729367466,0.720637297,0.737369254,0.718198401
82,162,0.753055296,0.733987807,0.723519448,0.731893233,0.741425222,0.713114314,0.762387036,0.760955971,0.730041132,0.717859236,0.736137984,0.71778373
83,164,0.758224818,0.727013532,0.723385558,0.726680728,0.729969156,0.712628934,0.76119631,0.762189485,0.73170761,0.717177147,0.737350597,0.719907518
84,166,0.75122044,0.729890805,0.721798008,0.722705301,0.730937182,0.711670025,0.760527187,0.758590247,0.731074612,0.715918597,0.73400873,0.717287468
85,168,0.749849323,0.722641186,0.722828985,0.724983968,0.729623685,0.713961331,0.760648424,0.745502129,0.731214893,0.718501165,0.736501619,0.716883412
