 ,Mean(Background),Mean(Cell1),Mean(Cell2),Mean(Cell3),Mean(Cell4),Mean(Cell5),Mean(Cell6),Mean(Cell7),Mean(Cell8),Mean(Cell9),Mean(Cell10),Mean(Cell11),Mean(Cell12)
1,124.535,673.219,599.386,742.468,636.363,514.306,822.093,664.771,718.765,533.950,424.582,524.586,660.161
2,159.955,1511.406,1335.977,1695.174,1417.147,1129.722,1875.866,1493.599,1617.549,1182.297,905.943,1145.229,1494.656
3,159.569,1501.729,1339.648,1699.080,1409.196,1124.083,1857.093,1485.422,1601.480,1181.025,902.139,1138.600,1498.785
4,159.184,1491.812,1337.784,1697.629,1403.010,1114.139,1852.474,1474.068,1581.304,1180.467,898.393,1132.186,1507.059
5,159.265,1480.104,1341.841,1697.615,1403.745,1113.722,1845.237,1463.896,1556.647,1179.337,895.131,1120.614,1513.726
6,159.129,1481.177,1343.068,1702.398,1400.814,1111.764,1837.495,1457.453,1543.088,1176.128,893.053,1117.057,1518.371
7,159.053,1478.885,1339.511,1701.776,1393.980,1105.722,1827.948,1448.161,1520.598,1175.994,888.729,1111.207,1523.081
8,158.935,1480.469,1340.580,1699.823,1396.520,1110.625,1833.134,1443.495,1510.333,1173.025,884.340,1109.979,1530.930
9,158.858,1475.365,1336.773,1703.017,1398.088,1127.153,1821.742,1434.146,1488.755,1160.854,883.238,1106.264,1525.043
10,159.067,1482.417,1339.420,1697.445,1394.892,1139.681,1827.979,1433.266,1487.882,1154.504,881.197,1108.114,1519.688
11,158.649,1483.500,1328.909,1697.893,1394.804,1148.806,1829.144,1429.078,1480.784,1155.280,879.533,1108.436,1518.156
12,158.375,1477.510,1331.659,1700.027,1397.049,1154.375,1823.206,1433.615,1475.314,1155.536,877.119,1108.621,1518.301
13,158.547,1477.344,1331.102,1697.321,1394.686,1150.750,1825.134,1434.781,1473.814,1155.274,875.086,1112.057,1511.731
14,158.920,1480.385,1332.443,1692.562,1397.039,1146.000,1832.412,1440.411,1477.853,1146.676,876.373,1120.193,1503.253
15,158.582,1482.094,1328.920,1689.472,1395.225,1141.319,1840.495,1442.859,1485.833,1142.573,877.902,1128.929,1497.608
